Episode,Action Sequence,Total Reward,Steps Taken,Weights
1,"[3, 0, 3, 3, 3, 0, 1, 1, 1, 0, 0, 2, 3, 2, 1, 3, 1, 3, 0, 1, 3, 0, 2, 2, 1, 1, 2, 1, 0, 0, 2, 3, 3, 0, 2, 2, 2, 3, 0, 0, 1, 0, 1, 2, 1, 0, 3, 3, 1, 3, 1, 1, 0, 2, 0, 2, 2, 0, 2, 2, 3, 1, 3, 2, 0, 1, 3, 0, 3, 2, 1, 0, 2, 0, 0, 3, 3, 0, 1, 2, 1, 1, 2, 2, 3, 3, 1, 3, 2, 1, 1, 1, 3, 0, 3, 1]",-126,96,"[[-0.80850956 -1.77248629 -1.15334144 -0.66986557]
 [ 0.93248559 -1.00027188 -0.72495649 -1.50744645]
 [-0.70830623 -1.86930224 -0.91885542 -0.67128193]
 [-1.16770858 -1.24098983 -0.69129489 -0.80247914]]"
2,"[0, 1, 1, 0, 1, 3, 1, 2, 3, 2, 2, 2, 1, 2, 3, 3, 0, 1, 3, 3]",-10,20,"[[-0.85997767 -2.07232773 -1.15974368 -0.76588591]
 [ 0.86732646 -1.26738837 -0.74087695 -1.6362011 ]
 [-0.74746708 -2.00982529 -0.92360891 -1.93003075]
 [ 1.2054547  -1.33543123 -0.64956722 -0.77690417]]"
3,"[3, 3, 2, 2, 3, 1, 3, 1, 1, 3, 1, 3]",14,12,"[[-0.85997767 -2.07232773 -1.15974368 -0.76588591]
 [ 0.73153584 -1.42569753 -0.79224597 -1.65213797]
 [-0.74815933 -2.0548019  -0.96140486 -1.93085452]
 [ 3.43800002 -1.60590663 -0.63171332 -0.50213795]]"
4,"[0, 2, 1, 1, 1, 0, 0, 3, 3, 3, 2, 3, 3, 2, 3, 0, 3, 2, 1, 3, 1, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 1]",-38,32,"[[-0.86817819 -2.3853556  -1.20757673 -0.90254189]
 [ 3.09555814 -1.56554823 -0.49431517 -1.61793587]
 [-0.79519572 -2.33188357 -1.22440761 -1.93815078]
 [ 1.45390646 -1.88840034 -2.51597711 -0.61221337]]"
5,"[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 3]",-2,12,"[[-0.86817819 -2.3853556  -1.20757673 -0.90254189]
 [ 1.11575475 -1.73092113 -0.55121263 -1.99728171]
 [-0.79519572 -2.33188357 -1.22440761 -1.93815078]
 [ 3.7138652  -1.92425217 -2.47050381 -0.33790571]]"
6,"[0, 1, 3, 2, 1, 3, 2, 1, 3, 0, 0, 2, 1, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1]",-22,24,"[[-0.89443337 -2.71291661 -1.22157978 -1.10064731]
 [ 3.37881937 -1.90150405 -0.24814173 -1.9661144 ]
 [-0.78641513 -2.34063373 -1.19707534 -2.08398032]
 [ 1.51814132 -2.16581574 -2.77163235 -0.52137104]]"
7,"[1, 1, 3, 1, 1, 3, 1, 0, 1, 3, 1, 1, 1, 1, 1, 3]",-14,16,"[[-0.88715518 -2.7127833  -1.22144647 -1.09336912]
 [ 0.72667104 -2.00078524 -0.30369834 -2.54364202]
 [-0.78641513 -2.34063373 -1.19707534 -2.08398032]
 [ 3.76602209 -2.24667596 -2.73201123 -0.31494696]]"
8,"[1, 0, 3, 2, 3, 1, 0, 1, 0, 3, 1, 1, 3, 3, 0, 1, 1, 3, 3, 3, 3, 1]",-12,22,"[[-0.90608199 -2.51447882 -1.21751241 -1.06688793]
 [ 3.05269469 -2.48284624 -0.10476381 -2.50592679]
 [-0.78645236 -2.35565426 -1.19910814 -2.08425543]
 [ 1.79150279 -2.43513073 -3.09026794 -0.36636916]]"
9,"[3, 0, 2, 1, 2, 3, 2, 3, 2, 3, 0, 0, 2, 1, 2, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1, 1, 3]",-29,27,"[[-0.91674609 -3.31780195 -1.32623038 -1.14568554]
 [ 1.59654776 -2.69690269 -0.13973476 -2.75856533]
 [-0.78504028 -3.0674646  -1.19299426 -2.17626842]
 [ 4.02943044 -3.13113921 -3.05616345 -0.10623563]]"
10,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 3, 1, 3, 3, 3, 3, 1]",-10,20,"[[-0.92043681 -3.92924044 -1.33742926 -1.34719213]
 [ 3.97989318 -2.7394646   0.28284698 -2.55946152]
 [-0.78504028 -3.0674646  -1.19299426 -2.17626842]
 [ 2.73167203 -3.20327586 -3.23120832 -0.21074783]]"
11,"[1, 2, 1, 3, 3, 1, 3, 1, 1, 3]",8,10,"[[-0.92043681 -3.92924044 -1.33742926 -1.34719213]
 [ 3.12751433 -2.84100298  0.23614848 -2.66378067]
 [-0.78609404 -3.4925806  -1.20078053 -2.23380161]
 [ 5.07100947 -3.19617154 -3.1662071   0.19124051]]"
12,"[1, 1, 3, 3, 3, 1, 3, 3, 3, 1]",8,10,"[[-0.92043681 -3.92924044 -1.33742926 -1.34719213]
 [ 5.47864363 -2.90760274  0.68015346 -2.6050684 ]
 [-0.78609404 -3.4925806  -1.20078053 -2.23380161]
 [ 3.70190443 -3.20603644 -3.30810638  0.11178725]]"
13,"[1, 1, 2, 3, 3, 1, 3, 1, 1, 1, 3]",3,11,"[[-0.92043681 -3.92924044 -1.33742926 -1.34719213]
 [ 4.03679326 -2.98947225  0.61538383 -2.78202134]
 [-0.79003784 -3.70790517 -1.20472434 -2.44912618]
 [ 6.06669656 -3.15899522 -3.23271889  0.59609786]]"
14,"[0, 2, 0, 0, 1, 1, 3, 3, 3, 1, 3, 3, 1]",-7,13,"[[-0.92068378 -4.66545778 -1.35091355 -1.36067642]
 [ 6.39373009 -3.02670927  1.07561924 -2.71809525]
 [-0.79012325 -3.96249799 -1.20938737 -2.45378921]
 [ 5.10235266 -3.1424527  -3.31058252  0.54157096]]"
15,"[1, 0, 1, 3, 1, 3, 1, 1, 3, 1, 1, 1, 3]",1,13,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 4.88688968 -3.02760627  1.10429128 -2.96075461]
 [-0.79012325 -3.96249799 -1.20938737 -2.45378921]
 [ 7.2701587  -3.22366598 -3.26067433  0.91965141]]"
16,"[2, 3, 1, 3, 1, 3, 1, 3, 3, 3, 3, 1]",-2,12,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 7.23290073 -3.1168725   1.63217977 -2.88931267]
 [-0.79020712 -4.21250675 -1.21396644 -2.45836828]
 [ 5.24517621 -3.03370442 -3.45234384  0.89886867]]"
17,"[1, 3, 1, 3, 1, 3, 1, 1, 1, 3]",8,10,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 5.66109229 -3.00359286  1.59335889 -3.0423673 ]
 [-0.79020712 -4.21250675 -1.21396644 -2.45836828]
 [ 7.59108891 -3.07939122 -3.37504111  1.47006292]]"
18,"[1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1]",3,11,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 7.94605569 -2.69298641  2.07192807 -2.81161511]
 [-0.79020712 -4.21250675 -1.21396644 -2.45836828]
 [ 5.547891   -3.22761908 -3.64910076  1.43166392]]"
19,"[2, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 3]",-7,13,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 5.85309749 -2.74428067  2.05201317 -3.20136286]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [ 7.72761063 -3.15230923 -3.59238702  1.81844518]]"
20,"[3, 1, 3, 1, 1, 3, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 8.16880628 -2.71685531  2.52052484 -2.99068062]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [ 7.0963374  -2.92229254 -3.63871729  1.80506121]]"
21,"[1, 1, 3, 3, 1, 3, 1, 1, 3]",13,9,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 7.04775626 -2.67538827  2.50026136 -3.06131178]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [ 9.3221979  -2.85261107 -3.57017902  2.26536815]]"
22,"[1, 3, 1, 3, 3, 1, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 9.34865924 -2.46963286  2.99815481 -2.96532698]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [ 8.63819792 -2.87034921 -3.5660052   2.30055406]]"
23,"[1, 3, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [ 8.63874817 -2.25731955  3.02081099 -2.9426708 ]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [10.81515556 -2.86594803 -3.49792638  2.80359232]]"
24,"[1, 3, 3, 1, 1, 3, 3, 3, 3, 1]",8,10,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [10.88145853 -2.07921485  3.55319044 -2.69928966]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [ 8.98655507 -2.60195263 -3.69424073  2.77487858]]"
25,"[1, 1, 3, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [10.0282901  -2.04394727  3.50868175 -2.73777305]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [11.26064143 -2.44928717 -3.60885373  3.37651629]]"
26,"[3, 1, 1, 3, 1, 3, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [12.21336793 -1.71195282  3.98050872 -2.48262056]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [10.38145002 -2.43842508 -3.72019396  3.38017955]]"
27,"[1, 1, 3, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [11.27134676 -1.6608739   3.93636388 -2.52058831]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [12.61853461 -2.25593863 -3.6324762   4.0099544 ]]"
28,"[1, 3, 1, 3, 1, 3, 3, 3, 1]",13,9,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [13.43066985 -1.25182649  4.43336793 -2.25287358]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [11.16562269 -2.27899018 -3.8201534   4.00338784]]"
29,"[3, 1, 1, 3, 1, 3, 1, 1, 3]",13,9,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [11.86835848 -1.10214539  4.37178859 -2.36233971]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [13.40176526 -2.07429602 -3.72595357  4.70282189]]"
30,"[1, 1, 3, 3, 3, 1, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [13.98656711 -1.07836003  4.79959983 -2.29629998]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [12.44785086 -1.84617656 -3.70221153  4.79862995]]"
31,"[1, 3, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [12.93677256 -0.77698844  4.80300087 -2.29289894]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [14.57753923 -1.72866764 -3.62306051  5.38348132]]"
32,"[3, 1, 1, 3, 3, 1, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [15.04572204 -0.53384797  5.2718756  -2.19271071]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [13.5316598  -1.52940975 -3.60974956  5.46384246]]"
33,"[1, 1, 3, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [13.92399879 -0.4035204   5.24555089 -2.21024234]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [15.61899954 -1.33571184 -3.53207118  6.0552978 ]]"
34,"[3, 1, 1, 3, 1, 3, 3, 3, 1]",13,9,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [16.04962618  0.0950059   5.77237708 -1.89359442]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [13.89315521 -1.3053818  -3.75799486  5.98991976]]"
35,"[3, 1, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [14.82535183  0.34358374  5.73035995 -1.92803097]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [16.02559423 -1.09125662 -3.67020813  6.6389388 ]]"
36,"[1, 1, 3, 3, 3, 1, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [16.83712761  0.3856103   6.13461787 -1.86442822]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [14.8737634  -0.80427518 -3.65303455  6.76771269]]"
37,"[1, 3, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [15.57225391  0.72639382  6.12250194 -1.87654415]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [16.9394715  -0.61873733 -3.57377145  7.35339224]]"
38,"[3, 1, 1, 3, 1, 3, 3, 1]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [17.6502708   1.24068068  6.6453771  -1.5628243 ]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [15.56367272 -0.57136929 -3.75207153  7.25439011]]"
39,"[1, 3, 1, 3, 1, 3, 1, 3]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [16.30459491  1.50182192  6.60268345 -1.60551795]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [17.6193979  -0.29657078 -3.66786409  7.87660357]]"
40,"[3, 1, 1, 3, 3, 1, 1, 3]",18,8,"[[-9.20476846e-01 -4.58197389e+00 -1.34938449e+00 -1.34937810e+00]
 [ 1.52767685e+01  1.73865362e+00  6.62765650e+00 -1.71061589e+00]
 [-7.90287100e-01 -4.45093080e+00 -1.21833333e+00 -2.46273517e+00]
 [ 1.95987539e+01  6.34562629e-03 -3.42862680e+00  8.39382759e+00]]"
41,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]",3,11,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [17.50736118  1.83285209  7.25255222 -1.61590515]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [16.43394693  0.22006968 -3.76217967  8.39127223]]"
42,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [16.19734909  2.01990627  7.22819393 -1.63103519]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [18.32154574  0.39524959 -3.70654684  8.86836159]]"
43,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [18.21632035  2.10059281  7.66624182 -1.56048096]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [16.93746067  0.62406053 -3.75047567  8.91580211]]"
44,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [16.85159937  2.30480389  7.6372359  -1.57880915]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [18.8115446   0.79858523 -3.69600979  9.39380527]]"
45,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [18.83171133  2.39806631  8.05789153 -1.50903598]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [17.38587092  1.0296627  -3.74288945  9.43828325]]"
46,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [17.41905929  2.61821779  8.02515611 -1.52983571]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [19.24313836  1.20043117 -3.69048935  9.91036519]]"
47,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [19.3641665   2.72253141  8.42946675 -1.46094724]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [17.77851916  1.43076783 -3.74147873  9.94938785]]"
48,"[np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [17.90501749  3.18427615  8.4291152  -1.46129879]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [19.62485184  1.58820319 -3.68918906 10.33575918]]"
49,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [19.93444236  3.53498244  8.93879532 -1.14543192]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [17.93011442  1.63886159 -3.92054659 10.15093272]]"
50,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [18.39757609  3.709776    8.86375691 -1.21171517]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [19.80988054  1.85477033 -3.86068651 10.69053761]]"
51,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [20.39509295  4.03675443  9.35438477 -0.91466777]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [18.11679793  1.9258873  -4.08985622 10.51566483]]"
52,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(3)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [18.8023176   4.19133168  9.25892272 -1.00261261]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [20.00843196  2.16128286 -4.02679179 11.08453786]]"
53,"[np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1)]",18,8,"[[-0.92047685 -4.58197389 -1.34938449 -1.3493781 ]
 [20.7758251   4.50477186  9.73646739 -0.71807712]
 [-0.7902871  -4.4509308  -1.21833333 -2.46273517]
 [18.30488601  2.24255978 -4.25666623 10.90722508]]"
