Episode,Action Sequence,Total Reward,Steps Taken,Weights
1,"[1, 3, 1, 0, 2, 1, 0, 0, 2, 3, 1, 0, 0, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 2, 3, 1, 2, 2, 1, 3, 2, 2, 0, 0, 2, 1, 3, 2, 3, 0, 1, 1, 3, 0, 2, 2, 3, 1, 3, 1, 3, 2, 0, 0, 0, 2, 2, 3, 3, 0, 3, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 3, 0, 0, 3, 0, 3, 0, 3, 0, 1, 1, 1, 3, 2, 2, 0, 3, 3, 3, 1, 1]",-106,92,"[-0.58589438 -1.03655982 -0.80873619 -0.14254199 -0.84230402 -1.41698344
 -0.50245883 -0.50833118 -0.4499237  -0.53833926 -1.18865529 -0.72254835
 -0.95948977 -0.35474245  3.19530616 -0.669381   -0.59963055 -0.69344868
  3.29953714 -1.36720661 -1.98060688 -0.8917985  -0.80598481 -0.38160477
 -0.21969864 -0.75       -0.61789702 -0.88049882 -0.94539368 -1.08590407
 -0.94153248 -0.76842776 -0.51715664 -0.43902581 -2.00154228 -1.14362852
 -0.5780022  -1.15129579 -1.18853992 -0.60621853]"
2,"[0, 3, 2, 3, 1, 1, 0, 0, 2, 3, 1, 1, 0, 1, 0, 3, 0, 2, 1, 3, 3, 3, 1, 1, 1]",-3,25,"[-1.28629761 -1.36247769 -0.9791162  -0.14254199 -0.84230402 -2.11738666
 -0.81625165 -0.69083624 -0.4499237  -0.53833926 -1.18865529 -1.30337173
 -0.95948977 -0.35474245  6.42023912 -0.89488068 -1.10325627 -0.33969893
  6.31902237 -1.36720661 -1.98060688 -1.17071935 -0.96618581 -0.38160477
 -0.21969864 -1.18912186 -0.61789702 -0.88049882 -0.94539368 -1.08590407
 -1.0479413  -0.94437113 -0.60592845 -0.09431682 -2.00154228 -1.25003735
 -0.4980084  -1.15129579 -1.18853992 -0.60621853]"
3,"[3, 1, 0, 2, 3, 0, 1, 3, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 3, 3, 3, 1, 0, 3, 1, 1, 1]",-5,27,"[-1.62236736 -1.99670778 -0.9791162  -0.28895933 -0.84230402 -2.62761657
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -1.38479729 -1.32884347
 -0.95948977 -0.37979223  9.47010558 -1.11649442 -1.25122308  0.3198641
  8.83224285 -1.36720661 -1.98060688 -1.34422341 -1.09561675 -0.38160477
 -0.21969864 -1.26844579 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.32130817 -1.09463637 -0.66660529  0.60500977 -2.00154228 -1.42723398
 -0.10579412 -1.15129579 -1.18853992 -0.60621853]"
4,"[3, 3, 0, 2, 2, 1, 3, 3, 3, 3, 1, 1, 1]",9,13,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -1.36142064 -1.32884347
 -0.95948977 -0.37979223 12.3488168  -1.09311778 -1.31240955  1.17310348
 10.91890115 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.48260753 -1.20297502 -0.63095131  1.50832806 -2.00154228 -1.53687469
  0.67318085 -1.15129579 -1.18853992 -0.60621853]"
5,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -1.25251248 -1.32884347
 -0.95948977 -0.37979223 15.05899026 -0.98420962 -1.2924114   2.13565739
 12.64652255 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.58271574 -1.26630329 -0.49033049  2.52443905 -2.00154228 -1.53687469
  1.66647619 -1.15129579 -1.18853992 -0.60621853]"
6,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -1.05569651 -1.32884347
 -0.95948977 -0.37979223 17.60056131 -0.78739364 -1.1861208   3.14511011
 14.07235027 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.69125647 -1.31592144 -0.2486064   3.59175513 -2.00154228 -1.53687469
  2.81735747 -1.15129579 -1.18853992 -0.60621853]"
7,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -0.77720935 -1.32884347
 -0.95948977 -0.37979223 19.97279691 -0.50890648 -0.99762123  4.15627497
 15.24492145 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.80747775 -1.34261213  0.08345482  4.66796532 -2.00154228 -1.53687469
  4.08271691 -1.15129579 -1.18853992 -0.60621853]"
8,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 -0.42713469 -1.32884347
 -0.95948977 -0.37979223 22.17552224 -0.15883182 -0.73647288  5.13738894
 16.20538445 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.92884948 -1.33937409  0.49164316  5.72350351 -2.00154228 -1.53687469
  5.42830975 -1.15129579 -1.18853992 -0.60621853]"
9,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736e+00 -1.99670778e+00 -1.46836415e+00 -2.88959326e-01
 -8.42304019e-01 -3.11686452e+00 -1.27632158e+00 -8.37253568e-01
 -4.49923704e-01 -5.38339259e-01 -1.68125752e-02 -1.32884347e+00
 -9.59489775e-01 -3.79792231e-01  2.42097936e+01  2.51490291e-01
 -4.15087274e-01  6.06705388e+00  1.69886053e+01 -1.36720661e+00
 -1.98060688e+00 -1.42117073e+00 -1.22112798e+00 -3.81604769e-01
 -2.19698642e-01 -1.47090434e+00 -8.41508088e-01 -8.80498825e-01
 -9.45393685e-01 -1.08590407e+00 -2.05176221e+00 -1.30167710e+00
  9.60423253e-01  6.73746853e+00 -2.00154228e+00 -1.53687469e+00
  6.82583912e+00 -1.15129579e+00 -1.18853992e+00 -6.06218527e-01]"
10,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926  0.44248615 -1.32884347
 -0.95948977 -0.37979223 26.07819216  0.71078902 -0.04691881  6.93178808
 17.62410117 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -2.17211187 -1.22735074  1.47422078  7.69509161 -2.00154228 -1.53687469
  8.25123642 -1.15129579 -1.18853992 -0.60621853]"
