Episode,Action Sequence,Total Reward,Steps Taken,Weights
1,"[0, 3, 0, 3, 2, 2, 1, 0, 2, 1, 3, 3, 2, 2, 1, 1, 2, 3, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 0, 3, 3, 0, 3, 1, 2, 3, 1, 1, 2, 1, 2, 0, 2, 1, 0, 0, 0, 3, 0, 2, 2, 1, 0, 0, 0, 1, 3, 2, 1, 3, 1, 0, 2, 1, 2, 1, 3, 3, 3, 2, 0, 2, 3, 0, 1, 2, 3, 3, 0, 2, 0, 1, 2, 0, 1, 1, 3, 3, 0, 2, 3, 0, 1, 1, 3, 3, 3, 2, 1, 0, 0, 3, 0, 2, 0, 3, 2, 0, 3, 1, 0, 1, 3, 1, 1, 2, 3, 2, 1, 3]",-172,126,"[[[-1.9668375  -0.5354025  -1.40775    -0.15      ]
  [-0.29775    -0.47799375 -0.75       -0.47799375]
  [-0.51545625 -0.406125   -0.75       -0.15      ]
  [-0.385875   -0.2775     -1.40775    -0.15      ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-0.75        0.         -0.29775    -0.15      ]
  [-0.15       -0.15       -0.31769625 -0.2775    ]
  [-0.15       -0.29775    -0.17025     0.        ]
  [-0.15       -0.15       -0.15       -0.406125  ]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[ 0.          0.         -0.15       -0.15      ]
  [-0.15       -0.15       -0.15       -0.15      ]
  [-0.15       -0.15       -0.15       -0.15      ]
  [-0.15       -0.15       -0.29775    -0.2775    ]
  [-0.15        0.         -0.15       -0.15      ]]

 [[-0.75       -0.15        0.         -0.2775    ]
  [-0.15       -0.2775     -0.15        0.        ]
  [-0.15       -0.2775     -0.2775     -0.15      ]
  [-0.385875   -0.2775     -0.15       -0.2775    ]
  [-0.17025     0.         -0.15        3.75      ]]

 [[ 0.         -0.2775     -0.15        0.        ]
  [-0.15       -0.15       -0.15       -0.75      ]
  [-0.15       -0.15        0.          0.        ]
  [ 0.          0.         -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
2,"[3, 3, 1, 1, 1, 3, 1, 3]",18,8,"[[[-1.9668375  -0.5354025  -1.40775    -0.2775    ]
  [-0.29775    -0.47799375 -0.75       -0.47799375]
  [-0.51545625 -0.406125   -0.75       -0.15      ]
  [-0.385875   -0.2775     -1.40775    -0.15      ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-0.75        0.         -0.29775    -0.2775    ]
  [-0.15       -0.15       -0.31769625 -0.2775    ]
  [-0.15       -0.29775    -0.17025     0.        ]
  [-0.15       -0.15       -0.15       -0.406125  ]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[ 0.         -0.17025    -0.15       -0.15      ]
  [-0.15       -0.29775    -0.15       -0.15      ]
  [-0.15       -0.29775    -0.15       -0.15      ]
  [-0.15       -0.15       -0.29775    -0.406125  ]
  [-0.15        0.         -0.15       -0.15      ]]

 [[-0.75       -0.15        0.         -0.2775    ]
  [-0.15       -0.2775     -0.15        0.        ]
  [-0.15       -0.2775     -0.2775     -0.15      ]
  [-0.385875    0.120375   -0.15       -0.2775    ]
  [-0.17025     0.         -0.15        6.9375    ]]

 [[ 0.         -0.2775     -0.15        0.        ]
  [-0.15       -0.15       -0.15       -0.75      ]
  [-0.15       -0.15        0.          0.        ]
  [ 0.          0.         -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
3,"[1, 2, 1, 3, 2, 2, 1, 3, 3, 1, 3, 3]",6,12,"[[[-1.9668375  -0.64528838 -1.40775    -0.2775    ]
  [-0.29775    -0.57654469 -1.42769625 -0.47799375]
  [-0.51545625 -0.51545625 -1.4249625  -0.2775    ]
  [-0.385875   -0.2775     -1.40775    -0.29775   ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-0.75        0.         -0.29775    -0.2775    ]
  [-0.15       -0.15       -0.31769625 -0.2775    ]
  [-0.15       -0.29775    -0.332175    0.        ]
  [-0.15       -0.15       -0.15       -0.51545625]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[ 0.         -0.17025    -0.15       -0.15      ]
  [-0.15       -0.29775    -0.15       -0.15      ]
  [-0.15       -0.29775    -0.15       -0.15      ]
  [-0.15       -0.2775     -0.29775    -0.406125  ]
  [-0.15        0.         -0.15        0.6590625 ]]

 [[-0.75       -0.15        0.         -0.2775    ]
  [-0.15       -0.2775     -0.15        0.        ]
  [-0.15       -0.2775     -0.2775     -0.15      ]
  [-0.385875    0.120375   -0.15       -0.2775    ]
  [-0.17025     0.         -0.15        9.646875  ]]

 [[ 0.         -0.2775     -0.15        0.        ]
  [-0.15       -0.15       -0.15       -0.75      ]
  [-0.15       -0.15        0.          0.        ]
  [ 0.          0.         -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
4,"[3, 2, 1, 0, 3, 2, 2, 1, 0, 3, 1, 2, 0, 0, 3, 0, 3, 1, 3, 1, 0, 1, 0, 0, 1, 3, 1, 3, 3, 2, 0, 3, 3, 1, 1, 1]",-34,36,"[[[-2.49691166 -0.83933705 -2.01111666 -0.64583423]
  [-0.73631757 -0.57654469 -1.42769625 -0.47799375]
  [-0.51545625 -0.51545625 -1.4249625  -0.2775    ]
  [-0.385875   -0.2775     -1.40775    -0.29775   ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-1.41048375 -0.17025    -0.60143269 -0.385875  ]
  [-0.15       -0.15       -0.48457097 -0.2775    ]
  [-0.15       -0.29775    -0.332175    0.        ]
  [-0.15       -0.15       -0.15       -0.51545625]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[ 0.         -0.3149625  -0.15       -0.15      ]
  [-0.15       -0.29775    -0.15       -0.2775    ]
  [-0.15       -0.29775    -0.15       -0.15      ]
  [-0.15       -0.2775     -0.29775    -0.406125  ]
  [-0.15        0.         -0.15        0.6590625 ]]

 [[-0.75       -0.2775      0.         -0.2775    ]
  [-0.2775     -0.51545625 -0.15       -0.3149625 ]
  [-0.49824375 -0.2775     -0.2775     -0.15      ]
  [-0.385875    0.120375   -0.15       -0.2775    ]
  [-0.17025     0.         -0.15        9.646875  ]]

 [[ 0.         -0.2775     -0.15        0.        ]
  [-0.15       -0.406125   -0.15       -1.40775   ]
  [-0.15       -0.2775     -0.17025    -1.3875    ]
  [ 0.          3.75       -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
5,"[3, 1, 2, 0, 3, 3, 1, 3, 2, 0, 3, 2, 2, 2, 3, 3, 0, 2, 2, 2, 3, 3, 3, 2, 3, 3, 0, 0, 1, 0, 3, 2, 2, 3, 2, 1, 0, 1, 3, 2, 2, 3, 2, 0, 1, 2, 1, 0, 3, 3, 2, 0, 0, 2, 1, 1, 3, 3, 2, 3, 1, 3, 2, 1, 3, 3]",-64,66,"[[[-2.49691166 -0.94127002 -2.57275966 -0.93862069]
  [-0.87333222 -0.76335916 -1.42769625 -0.57654469]
  [-0.65266697 -0.51545625 -1.4249625  -0.385875  ]
  [-0.385875   -0.2775     -1.40775    -0.29775   ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-2.00803688 -0.43796812 -1.04348622 -0.66031298]
  [-0.48114264 -0.15       -0.74698146 -0.55235681]
  [-0.15       -0.29775    -0.332175   -0.3149625 ]
  [-0.15       -0.15       -0.15       -0.51545625]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[-0.75       -0.63139447 -0.46453688 -0.64023094]
  [-0.44858748 -0.29775    -0.53008687 -0.53266875]
  [-0.15       -0.4233375  -0.29775    -0.15      ]
  [-0.15       -0.29690156 -0.29775    -0.47895562]
  [-0.15        0.         -0.15        1.71253125]]

 [[-0.75       -0.2775     -0.62698871 -0.385875  ]
  [-0.2775     -0.51545625 -0.4233375  -0.3149625 ]
  [-0.49824375 -0.2775     -0.2775     -0.15      ]
  [-0.385875    0.120375   -0.29775    -0.2775    ]
  [-0.17025     0.         -0.15       11.94984375]]

 [[-1.3875     -0.406125   -0.3149625  -0.75      ]
  [-0.2775     -0.406125   -0.15       -1.40775   ]
  [-0.15       -0.2775     -0.17025    -1.3875    ]
  [ 0.          3.75       -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
6,"[1, 3, 2, 3, 0, 1, 0, 1, 1, 0, 1, 2, 3, 2, 3, 1, 2, 0, 0, 1, 3, 3, 0, 3, 3, 2, 2, 1, 3, 2, 1, 0, 3, 2, 1, 1, 3, 3]",-12,38,"[[[-2.49691166 -1.02791305 -2.57275966 -0.93862069]
  [-0.87333222 -0.86844188 -1.42769625 -0.73151604]
  [-0.80352159 -0.51545625 -1.4249625  -0.72857902]
  [-0.54758034 -0.2775     -1.40775    -0.29775   ]
  [-0.29775    -0.75       -1.3875     -0.15      ]]

 [[-2.00803688 -0.63139447 -1.04348622 -0.66031298]
  [-0.74862299 -0.44328375 -0.8740765  -0.55235681]
  [-0.31769625 -0.4233375  -0.63136219 -0.43796812]
  [-0.15       -0.15       -0.3149625  -0.51545625]
  [-0.15       -0.75       -0.15       -0.15      ]]

 [[-0.75       -0.63139447 -0.46453688 -0.64023094]
  [-0.44858748 -0.4233375  -0.53008687 -0.64023094]
  [-0.31769625 -0.64065555 -0.29775    -0.4233375 ]
  [-0.31769625 -0.17117461 -0.29775    -0.47895562]
  [-0.15        0.         -0.15        2.91888047]]

 [[-0.75       -0.2775     -0.62698871 -0.385875  ]
  [-0.2775     -0.51545625 -0.55003312 -0.43796812]
  [-0.49824375 -0.2775     -0.55235681 -0.15      ]
  [-0.385875    0.120375   -0.29775    -0.2775    ]
  [-0.17025     0.         -0.15       13.90736719]]

 [[-1.3875     -0.406125   -0.3149625  -0.75      ]
  [-0.2775     -0.406125   -0.3149625  -1.40775   ]
  [-0.15       -0.2775     -0.17025    -1.3875    ]
  [ 0.          3.75       -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
7,"[1, 3, 2, 0, 3, 3, 2, 1, 0, 1, 2, 0, 3, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 2, 1, 1, 3, 3, 1, 0, 2, 3, 3, 2, 3, 3, 2, 2, 2, 0, 0, 1, 2, 3, 3, 1, 2, 2, 1, 1, 3, 2, 0, 3, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 3, 0, 3, 3, 3, 2, 0, 1, 2, 3, 0, 0, 3, 1, 2, 2, 3, 1, 0, 0, 1, 0, 3, 2, 3, 3, 2, 1, 0, 2, 2, 3, 0, 2, 3, 1, 1, 1, 2, 0, 1, 0, 2, 3, 3, 1, 0, 3, 3, 1, 1]",-101,115,"[[[-2.49691166 -1.30768072 -2.57275966 -1.13259306]
  [-1.28520523 -1.06353713 -1.42769625 -0.91673045]
  [-0.95675196 -0.73658714 -1.4249625  -0.9844406 ]
  [-0.71488256 -0.406125   -1.40775    -0.4233375 ]
  [-0.44328375 -0.75       -1.3875     -0.29775   ]]

 [[-2.00803688 -0.99828379 -1.18849819 -0.99439025]
  [-1.11173876 -0.58394175 -1.21148261 -0.87841713]
  [-0.75391594 -0.53008687 -0.99511352 -0.7632286 ]
  [-0.63942474 -0.15       -0.3149625  -0.51545625]
  [-0.15       -0.75       -0.31769625 -0.15      ]]

 [[-1.47273825 -0.74724461 -0.94212859 -0.64023094]
  [-0.44858748 -0.75424357 -0.66041715 -0.92428805]
  [-0.31769625 -0.83876439 -0.69332422 -0.78072023]
  [-0.58409135 -0.17117461 -0.4233375  -0.47895562]
  [-0.15        0.         -0.15        2.91888047]]

 [[-1.43959313 -0.75382965 -0.76800317 -0.75724101]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.2775     -0.75592244 -0.4233375 ]
  [-0.385875    0.120375   -0.29775    -0.2775    ]
  [-0.17025     0.         -0.15       13.90736719]]

 [[-1.3875     -0.53266875 -0.65766459 -1.45502793]
  [-0.2775     -0.406125   -0.70779772 -1.40775   ]
  [-0.15        0.120375   -0.332175   -1.3875    ]
  [ 0.          6.9375     -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
8,"[3, 1, 3, 2, 1, 1, 2, 3, 3, 0, 0, 2, 2, 3, 3, 1, 3, 1, 0, 1, 2, 2, 2, 1, 1, 1, 0, 3, 0, 1, 1, 3, 3, 3]",-16,34,"[[[-2.49691166 -1.30768072 -2.57275966 -1.24694679]
  [-1.28520523 -1.06353713 -1.42769625 -1.02613903]
  [-0.95675196 -0.73658714 -1.4249625  -0.9844406 ]
  [-0.71488256 -0.5354025  -1.40775    -0.62082384]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.07737335 -1.18849819 -0.99439025]
  [-1.11173876 -0.71791222 -1.30351883 -1.0241911 ]
  [-0.75391594 -0.69795027 -0.99511352 -0.7632286 ]
  [-0.77732225 -0.29775    -0.60649012 -0.61124638]
  [-0.15       -0.75       -0.31769625  0.11654886]]

 [[-1.47273825 -0.74724461 -0.94212859 -0.64023094]
  [-0.44858748 -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.85107469]
  [-0.68936664 -0.17117461 -0.53008687 -0.47895562]
  [-0.15        0.         -0.15        4.20854297]]

 [[-1.43959313 -0.75382965 -0.76800317 -0.75724101]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.4233375 ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       15.57126211]]

 [[-1.3875     -0.53266875 -0.65766459 -1.45502793]
  [-0.2775     -0.406125   -0.70779772 -1.40775   ]
  [-0.15        0.120375   -0.332175   -1.3875    ]
  [ 0.          6.9375     -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
9,"[3, 1, 1, 1, 3, 1, 3, 3]",18,8,"[[[-2.49691166 -1.30768072 -2.57275966 -1.34414745]
  [-1.28520523 -1.06353713 -1.42769625 -1.02613903]
  [-0.95675196 -0.73658714 -1.4249625  -0.9844406 ]
  [-0.71488256 -0.5354025  -1.40775    -0.62082384]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.18849819 -0.99439025]
  [-1.11173876 -0.85444867 -1.30351883 -1.0241911 ]
  [-0.75391594 -0.78345398 -0.99511352 -0.7632286 ]
  [-0.77732225 -0.29775    -0.60649012 -0.692668  ]
  [-0.15       -0.75       -0.31769625  0.11654886]]

 [[-1.47273825 -0.74724461 -0.94212859 -0.64023094]
  [-0.44858748 -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.85107469]
  [-0.68936664  0.27265488 -0.53008687 -0.47895562]
  [-0.15        0.         -0.15        5.52938191]]

 [[-1.43959313 -0.75382965 -0.76800317 -0.75724101]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.4233375 ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       16.98557279]]

 [[-1.3875     -0.53266875 -0.65766459 -1.45502793]
  [-0.2775     -0.406125   -0.70779772 -1.40775   ]
  [-0.15        0.120375   -0.332175   -1.3875    ]
  [ 0.          6.9375     -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
10,"[1, 1, 3, 0, 2, 3, 1, 3, 3, 3, 1, 1]",14,12,"[[[-2.49691166 -1.40005739 -2.57275966 -1.34414745]
  [-1.28520523 -1.15344582 -1.42769625 -1.13756875]
  [-0.95675196 -0.73658714 -1.4249625  -1.08855316]
  [-0.71488256 -0.5354025  -1.40775    -0.62082384]
  [-0.59835292 -2.00373806 -1.3875     -0.29775   ]]

 [[-2.00803688 -1.1626855  -1.18849819 -0.99439025]
  [-1.11173876 -0.97931723 -1.39651977 -1.0241911 ]
  [-0.90617912 -0.78345398 -0.99511352 -0.86362546]
  [-0.77732225 -0.29775    -0.60649012 -0.692668  ]
  [-0.15       -0.75       -0.31769625  0.11654886]]

 [[-1.47273825 -0.74724461 -0.94212859 -0.64023094]
  [-0.44858748 -0.85598819 -0.91857686 -0.92428805]
  [-0.48060112 -0.83876439 -0.69332422 -0.93056405]
  [-0.68936664  0.27265488 -0.53008687 -0.47895562]
  [-0.15        0.         -0.15        5.52938191]]

 [[-1.43959313 -0.75382965 -0.76800317 -0.75724101]
  [-0.91855429 -0.62560031 -0.87945292 -0.6632376 ]
  [-0.74518478 -0.44793009 -0.75592244 -0.49358625]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       16.98557279]]

 [[-1.3875     -0.53266875 -0.65766459 -1.45502793]
  [-0.2775     -0.406125   -0.70779772 -1.40775   ]
  [-0.15        0.88888125 -0.332175   -1.3875    ]
  [ 0.          9.646875   -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
