Episode,Action Sequence
1,"['right', 'up', 'right', 'right', 'right', 'up', 'down', 'down', 'down', 'up', 'up', 'left', 'right', 'left', 'down', 'right', 'down', 'right', 'up', 'down', 'right', 'up', 'left', 'left', 'down', 'down', 'left', 'down', 'up', 'up', 'left', 'right', 'right', 'up', 'left', 'left', 'left', 'right', 'up', 'up', 'down', 'up', 'down', 'left', 'down', 'up', 'right', 'right', 'down', 'right', 'down', 'down', 'up', 'left', 'up', 'left', 'left', 'up', 'left', 'left', 'right', 'down', 'right', 'left', 'up', 'down', 'right', 'up', 'right', 'left', 'down', 'up', 'left', 'up', 'up', 'right', 'right', 'up', 'down', 'left', 'down', 'down', 'left', 'left', 'right', 'right', 'down', 'right', 'left', 'down', 'down', 'down', 'right', 'up', 'right', 'down']"
2,"['up', 'down', 'down', 'up', 'down', 'right', 'down', 'left', 'right', 'left', 'left', 'left', 'down', 'left', 'right', 'right', 'up', 'down', 'right', 'right']"
3,"['right', 'right', 'left', 'left', 'right', 'down', 'right', 'down', 'down', 'right', 'down', 'right']"
4,"['up', 'left', 'down', 'down', 'down', 'up', 'up', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'up', 'right', 'left', 'down', 'right', 'down', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'down', 'right', 'right', 'down']"
5,"['down', 'down', 'right', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'down', 'right']"
6,"['up', 'down', 'right', 'left', 'down', 'right', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'down']"
7,"['down', 'down', 'right', 'down', 'down', 'right', 'down', 'up', 'down', 'right', 'down', 'down', 'down', 'down', 'down', 'right']"
8,"['down', 'up', 'right', 'left', 'right', 'down', 'up', 'down', 'up', 'right', 'down', 'down', 'right', 'right', 'up', 'down', 'down', 'right', 'right', 'right', 'right', 'down']"
9,"['right', 'up', 'left', 'down', 'left', 'right', 'left', 'right', 'left', 'right', 'up', 'up', 'left', 'down', 'left', 'right', 'down', 'up', 'down', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'right']"
10,"['down', 'down', 'up', 'up', 'up', 'up', 'down', 'down', 'up', 'down', 'down', 'up', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down']"
11,"['down', 'left', 'down', 'right', 'right', 'down', 'right', 'down', 'down', 'right']"
12,"['down', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down']"
13,"['down', 'down', 'left', 'right', 'right', 'down', 'right', 'down', 'down', 'down', 'right']"
14,"['up', 'left', 'up', 'up', 'down', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down']"
15,"['down', 'up', 'down', 'right', 'down', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'right']"
16,"['left', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'right', 'right', 'right', 'down']"
17,"['down', 'right', 'down', 'right', 'down', 'right', 'down', 'down', 'down', 'right']"
18,"['down', 'right', 'down', 'right', 'down', 'right', 'right', 'right', 'right', 'right', 'down']"
19,"['left', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'down', 'right']"
20,"['right', 'down', 'right', 'down', 'down', 'right', 'right', 'down']"
21,"['down', 'down', 'right', 'right', 'down', 'right', 'down', 'down', 'right']"
22,"['down', 'right', 'down', 'right', 'right', 'down', 'right', 'down']"
23,"['down', 'right', 'down', 'right', 'down', 'right', 'down', 'right']"
24,"['down', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down']"
