Episode,Action Sequence
1,"['down', 'right', 'down', 'up', 'left', 'down', 'up', 'up', 'left', 'right', 'down', 'up', 'up', 'right', 'down', 'left', 'down', 'left', 'right', 'left', 'down', 'right', 'right', 'left', 'right', 'down', 'left', 'left', 'down', 'right', 'left', 'left', 'up', 'up', 'left', 'down', 'right', 'left', 'right', 'up', 'down', 'down', 'right', 'up', 'left', 'left', 'right', 'down', 'right', 'down', 'right', 'left', 'up', 'up', 'up', 'left', 'left', 'right', 'right', 'up', 'right', 'down', 'right', 'left', 'down', 'down', 'left', 'down', 'left', 'right', 'left', 'right', 'up', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'down', 'down', 'down', 'right', 'left', 'left', 'up', 'right', 'right', 'right', 'down', 'down']"
2,"['up', 'right', 'left', 'right', 'down', 'down', 'up', 'up', 'left', 'right', 'down', 'down', 'up', 'down', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'down']"
3,"['right', 'down', 'up', 'left', 'right', 'up', 'down', 'right', 'left', 'left', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'right', 'right', 'right', 'down', 'up', 'right', 'down', 'down', 'down']"
4,"['right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
5,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
6,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
7,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
8,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
9,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
10,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
11,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
12,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
13,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
14,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
15,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
16,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
17,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
18,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
19,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
20,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
21,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
22,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
23,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
24,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
25,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
26,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
27,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
28,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
29,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
30,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
31,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
32,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
33,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
34,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
35,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
36,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
37,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
38,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
39,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
40,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
41,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
42,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
43,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
44,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
45,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
46,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
47,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
48,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
49,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
50,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
51,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
52,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
53,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
54,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
55,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
56,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
57,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
58,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
59,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
60,"['down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']"
