Episode,Action Sequence
1,"['right', 'right', 'left', 'right', 'right', 'down', 'right', 'left', 'down', 'down', 'up', 'left', 'left', 'down', 'up', 'up', 'left', 'left', 'up', 'down', 'up', 'down', 'right', 'up', 'down', 'right', 'up', 'right', 'down', 'right', 'down', 'down', 'down']"
2,"['right', 'up', 'up', 'down', 'up', 'left', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'up', 'right', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'down', 'down', 'down', 'down']"
3,"['up', 'up', 'right', 'down', 'up', 'left', 'down', 'right', 'down', 'right', 'left', 'down', 'right', 'right', 'left', 'right', 'down', 'left', 'up', 'down', 'down', 'down', 'right', 'down', 'up', 'left', 'down', 'left', 'right', 'left', 'up', 'right', 'right', 'down', 'right']"
4,"['left', 'right', 'down', 'right', 'right', 'down', 'down', 'up', 'down', 'down', 'right']"
5,"['right', 'right', 'up', 'down', 'down', 'up', 'down', 'up', 'up', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'down']"
6,"['down', 'down', 'right', 'right', 'down', 'right', 'down', 'right']"
7,"['down', 'right', 'left', 'down', 'up', 'up', 'right', 'left', 'down', 'right', 'up', 'right', 'left', 'right', 'down', 'left', 'left', 'left', 'up', 'down', 'up', 'up', 'down', 'right', 'down', 'left', 'up', 'right', 'right', 'left', 'down', 'down', 'down', 'up', 'left', 'left', 'up', 'right', 'left', 'down', 'down', 'up', 'up', 'left', 'down', 'up', 'right', 'up', 'up', 'right', 'down', 'right', 'left', 'right', 'up', 'down', 'up', 'down', 'left', 'right', 'right', 'down', 'down', 'down']"
8,"['left', 'right', 'down', 'right', 'left', 'right', 'right', 'up', 'down', 'down', 'left', 'down', 'right', 'down', 'right']"
9,"['down', 'down', 'up', 'down', 'down', 'right', 'right', 'right', 'down', 'right']"
10,"['right', 'right', 'up', 'right', 'left', 'down', 'right', 'right', 'down', 'down', 'down']"
11,"['down', 'right', 'up', 'down', 'up', 'right', 'left', 'left', 'left', 'right', 'down', 'right', 'up', 'right', 'left', 'down', 'up', 'right', 'right', 'down', 'down', 'down', 'down']"
