Episode,Action Sequence
1,"['up', 'right', 'up', 'right', 'left', 'left', 'down', 'up', 'left', 'down', 'right', 'right', 'left', 'left', 'down', 'down', 'left', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'up', 'up', 'up', 'down', 'up', 'left', 'down', 'down', 'up', 'left', 'up', 'right', 'right', 'up', 'right', 'down', 'left', 'right', 'down', 'down', 'left', 'down', 'left', 'up', 'left', 'down', 'up', 'up', 'up', 'right', 'up', 'left', 'left', 'down', 'up', 'up', 'up', 'down', 'right', 'left', 'down', 'right', 'down', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'right', 'left', 'up', 'left', 'right', 'up', 'down', 'left', 'right', 'right', 'up', 'left', 'up', 'down', 'left', 'up', 'down', 'down', 'right', 'right', 'up', 'left', 'right', 'up', 'down', 'down', 'right', 'right', 'right', 'left', 'down', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'down', 'up', 'down', 'right', 'down', 'down', 'left', 'right', 'left', 'down', 'right']"
2,"['right', 'right', 'down', 'down', 'down', 'right', 'down', 'right']"
3,"['down', 'left', 'down', 'right', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right']"
4,"['right', 'left', 'down', 'up', 'right', 'left', 'left', 'down', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'up', 'right', 'down', 'right', 'down', 'up', 'down', 'up', 'up', 'down', 'right', 'down', 'right', 'right', 'left', 'up', 'right', 'right', 'down', 'down', 'down']"
5,"['right', 'down', 'left', 'up', 'right', 'right', 'down', 'right', 'left', 'up', 'right', 'left', 'left', 'left', 'right', 'right', 'up', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'up', 'up', 'down', 'up', 'right', 'left', 'left', 'right', 'left', 'down', 'up', 'down', 'right', 'left', 'left', 'right', 'left', 'up', 'down', 'left', 'down', 'up', 'right', 'right', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'left', 'right', 'down', 'right', 'left', 'down', 'right', 'right']"
6,"['down', 'right', 'left', 'right', 'up', 'down', 'up', 'down', 'down', 'up', 'down', 'left', 'right', 'left', 'right', 'down', 'left', 'up', 'up', 'down', 'right', 'right', 'up', 'right', 'right', 'left', 'left', 'down', 'right', 'left', 'down', 'up', 'right', 'left', 'down', 'down', 'right', 'right']"
7,"['down', 'right', 'left', 'up', 'right', 'right', 'left', 'down', 'up', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'right', 'up', 'right', 'left', 'left', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'down', 'up', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'left', 'up', 'up', 'down', 'left', 'right', 'right', 'down', 'left', 'left', 'down', 'down', 'right', 'left', 'up', 'right', 'up', 'up', 'down', 'left', 'down', 'up', 'up', 'up', 'down', 'down', 'right', 'up', 'right', 'right', 'right', 'left', 'up', 'down', 'left', 'right', 'up', 'up', 'right', 'down', 'left', 'left', 'right', 'down', 'up', 'up', 'down', 'up', 'right', 'left', 'right', 'right', 'left', 'down', 'up', 'left', 'left', 'right', 'up', 'left', 'right', 'down', 'down', 'down', 'left', 'up', 'down', 'up', 'left', 'right', 'right', 'down', 'up', 'right', 'right', 'down', 'down']"
8,"['right', 'down', 'right', 'left', 'down', 'down', 'left', 'right', 'right', 'up', 'up', 'left', 'left', 'right', 'right', 'down', 'right', 'down', 'up', 'down', 'left', 'left', 'left', 'down', 'down', 'down', 'up', 'right', 'up', 'down', 'down', 'right', 'right', 'right']"
9,"['right', 'down', 'down', 'down', 'right', 'down', 'right', 'right']"
10,"['down', 'down', 'right', 'up', 'left', 'right', 'down', 'right', 'right', 'right', 'down', 'down']"
