Episode,Action Sequence
1,"[2, 3, 2, 0, 3, 2, 1, 2, 1, 0, 3, 3, 2, 0, 3, 1, 3, 1, 0, 1, 3, 3, 0, 1, 0, 0, 1, 2, 3, 2, 2, 1, 2, 1, 3, 2, 1, 3, 3, 1, 3]"
2,"[1, 1, 3, 2, 1, 0, 0, 3, 0, 3, 3, 2, 3, 0, 3, 0, 2, 3, 2, 2, 2, 3, 1, 3, 0, 3, 3, 1, 0, 0, 3, 3, 2, 2, 1, 0, 3, 2, 2, 2, 0, 0, 0, 3, 2, 1, 0, 3, 2, 2, 2, 3, 3, 1, 1, 3, 3, 1, 3, 0, 0, 1, 2, 3, 1, 3, 3, 0, 1, 1]"
3,"[2, 2, 0, 0, 1, 1, 2, 3, 1, 3, 1, 3, 3]"
4,"[3, 3, 2, 1, 1, 1, 3, 3, 1, 3]"
5,"[2, 3, 1, 3, 1, 1, 3, 3, 1]"
6,"[1, 1, 1, 1, 3, 3, 3, 3]"
7,"[3, 1, 1, 1, 3, 3, 3, 1]"
8,"[1, 1, 1, 3, 3, 3, 1, 3]"
9,"[1, 1, 1, 3, 3, 3, 3, 1]"
10,"[1, 3, 1, 3, 1, 3, 1, 3]"
11,"[1, 1, 3, 3, 1, 3, 3, 1]"
12,"[3, 1, 1, 1, 3, 3, 1, 3]"
13,"[3, 3, 0, 1, 1, 1, 3, 1, 3]"
14,"[1, 1, 3, 3, 3, 1, 3, 1]"
15,"[3, 1, 1, 3, 1, 3, 1, 3]"
16,"[1, 1, 3, 1, 3, 3, 3, 1]"
17,"[1, 3, 1, 1, 3, 3, 1, 3]"
18,"[1, 1, 3, 3, 1, 3, 1, 3]"
19,"[1, 1, 3, 1, 3, 3, 3, 1]"
20,"[3, 1, 1, 1, 3, 3, 1, 3]"
21,"[1, 1, 3, 1, 3, 3, 1, 3]"
22,"[3, 1, 1, 1, 3, 3, 3, 1]"
23,"[1, 1, 3, 1, 3, 3, 1, 3]"
24,"[1, 1, 1, 3, 3, 3, 1, 3]"
25,"[1, 1, 3, 1, 3, 3, 3, 1]"
26,"[1, 1, 1, 3, 3, 3, 1, 3]"
27,"[1, 1, 3, 1, 3, 3, 1, 3]"
28,"[1, 1, 3, 1, 3, 3, 1, 3]"
29,"[1, 1, 3, 1, 3, 3, 3, 1]"
30,"[1, 1, 1, 3, 3, 3, 1, 3]"
31,"[1, 1, 3, 1, 3, 3, 1, 3]"
32,"[3, 1, 1, 1, 3, 3, 1, 3]"
33,"[1, 1, 3, 1, 3, 3, 1, 3]"
34,"[1, 1, 1, 3, 3, 3, 3, 1]"
35,"[1, 1, 3, 1, 3, 3, 1, 3]"
36,"[1, 1, 3, 1, 3, 3, 1, 3]"
37,"[1, 1, 3, 1, 3, 3, 3, 1]"
38,"[1, 1, 3, 1, 3, 3, 1, 3]"
39,"[1, 1, 3, 1, 3, 3, 1, 3]"
40,"[1, 1, 1, 3, 3, 3, 1, 3]"
41,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
42,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
43,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
44,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
45,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
46,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
47,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
48,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
49,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
50,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
51,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
52,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
53,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
54,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
55,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
56,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
57,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
58,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
59,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
60,"[np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
