Episode,Action Sequence
1,"[1, 3, 1, 0, 2, 1, 0, 0, 2, 3, 1, 0, 0, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 2, 3, 1, 2, 2, 1, 3, 2, 2, 0, 0, 2, 1, 3, 2, 3, 0, 1, 1, 3, 0, 2, 2, 3, 1, 3, 1, 3, 2, 0, 0, 0, 2, 2, 3, 3, 0, 3, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 3, 0, 0, 3, 0, 3, 0, 3, 0, 1, 1, 1, 3, 2, 2, 0, 3, 3, 3, 1, 1]"
2,"[0, 3, 2, 3, 1, 1, 0, 0, 2, 3, 1, 1, 0, 1, 0, 3, 0, 2, 1, 3, 3, 3, 1, 1, 1]"
3,"[3, 1, 0, 2, 3, 0, 1, 3, 2, 2, 0, 1, 0, 1, 0, 1, 0, 1, 3, 3, 3, 1, 0, 3, 1, 1, 1]"
4,"[3, 3, 0, 2, 2, 1, 3, 3, 3, 3, 1, 1, 1]"
5,"[1, 3, 3, 3, 3, 1, 1, 1]"
6,"[1, 3, 3, 3, 3, 1, 1, 1]"
7,"[1, 3, 3, 3, 3, 1, 1, 1]"
8,"[1, 3, 3, 3, 3, 1, 1, 1]"
9,"[1, 3, 3, 3, 3, 1, 1, 1]"
10,"[1, 3, 3, 3, 3, 1, 1, 1]"
11,"[1, 3, 3, 3, 3, 1, 1, 1]"
12,"[1, 3, 3, 3, 3, 1, 1, 1]"
13,"[1, 3, 3, 3, 3, 1, 1, 1]"
14,"[1, 3, 3, 3, 3, 1, 1, 1]"
15,"[1, 3, 3, 3, 3, 1, 1, 1]"
16,"[1, 3, 3, 3, 3, 1, 1, 1]"
17,"[1, 3, 3, 3, 3, 1, 1, 1]"
18,"[1, 3, 3, 3, 3, 1, 1, 1]"
19,"[1, 3, 3, 3, 3, 1, 1, 1]"
20,"[1, 3, 3, 3, 3, 1, 1, 1]"
21,"[1, 3, 3, 3, 3, 1, 1, 1]"
22,"[1, 3, 3, 3, 3, 1, 1, 1]"
23,"[1, 3, 3, 3, 3, 1, 1, 1]"
24,"[1, 3, 3, 3, 3, 1, 1, 1]"
25,"[1, 3, 3, 3, 3, 1, 1, 1]"
26,"[1, 3, 3, 3, 3, 1, 1, 1]"
27,"[1, 3, 3, 3, 3, 1, 1, 1]"
28,"[1, 3, 3, 3, 3, 1, 1, 1]"
29,"[1, 3, 3, 3, 3, 1, 1, 1]"
30,"[1, 3, 3, 3, 3, 1, 1, 1]"
31,"[1, 3, 3, 3, 3, 1, 1, 1]"
32,"[1, 3, 3, 3, 3, 1, 1, 1]"
33,"[1, 3, 3, 3, 3, 1, 1, 1]"
34,"[1, 3, 3, 3, 3, 1, 1, 1]"
35,"[1, 3, 3, 3, 3, 1, 1, 1]"
36,"[1, 3, 3, 3, 3, 1, 1, 1]"
37,"[1, 3, 3, 3, 3, 1, 1, 1]"
38,"[1, 3, 3, 3, 3, 1, 1, 1]"
39,"[1, 3, 3, 3, 3, 1, 1, 1]"
40,"[1, 3, 3, 3, 3, 1, 1, 1]"
41,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]"
42,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]"
43,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]"
