Episode,Action Sequence
1,"[3, 3, 2, 3, 3, 1, 3, 2, 1, 1, 0, 2, 2, 1, 0, 0, 2, 2, 0, 1, 0, 1, 3, 0, 1, 3, 0, 3, 1, 3, 1, 1, 1]"
2,"[3, 0, 0, 1, 0, 2, 2, 1, 1, 2, 0, 3, 1, 3, 1, 0, 3, 0, 3, 0, 2, 0, 0, 3, 1, 1, 1, 1]"
3,"[0, 0, 3, 1, 0, 2, 1, 3, 1, 3, 2, 1, 3, 3, 2, 3, 1, 2, 0, 1, 1, 1, 3, 1, 0, 2, 1, 2, 3, 2, 0, 3, 3, 1, 3]"
4,"[2, 3, 1, 3, 3, 1, 1, 0, 1, 1, 3]"
5,"[3, 3, 0, 1, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 1, 1, 1]"
6,"[1, 1, 3, 3, 1, 3, 1, 3]"
7,"[1, 3, 2, 1, 0, 0, 3, 2, 1, 3, 0, 3, 2, 3, 1, 2, 2, 2, 0, 1, 0, 0, 1, 3, 1, 2, 0, 3, 3, 2, 1, 1, 1, 0, 2, 2, 0, 3, 2, 1, 1, 0, 0, 2, 1, 0, 3, 0, 0, 3, 1, 3, 2, 3, 0, 1, 0, 1, 2, 3, 3, 1, 1, 1]"
8,"[2, 3, 1, 3, 2, 3, 3, 0, 1, 1, 2, 1, 3, 1, 3]"
9,"[1, 1, 0, 1, 1, 3, 3, 3, 1, 3]"
10,"[3, 3, 0, 3, 2, 1, 3, 3, 1, 1, 1]"
11,"[1, 3, 0, 1, 0, 3, 2, 2, 2, 3, 1, 3, 0, 3, 2, 1, 0, 3, 3, 1, 1, 1, 1]"
12,"[3, 0, 3, 2, 2, 1, 3, 3, 3, 0, 3, 1, 1, 1, 1]"
13,"[1, 1, 0, 0, 2, 3, 1, 1, 3, 1, 3, 1, 3]"
14,"[3, 1, 1, 2, 1, 3, 3, 3, 1, 3]"
15,"[1, 1, 3, 1, 3, 3, 1, 3]"
16,"[3, 0, 1, 0, 1, 3, 3, 3, 1, 1, 1]"
17,"[3, 1, 3, 1, 1, 3, 1, 3]"
18,"[1, 1, 1, 3, 3, 3, 1, 3]"
19,"[1, 3, 3, 1, 1, 3, 1, 3]"
20,"[0, 0, 1, 2, 1, 1, 3, 3, 3, 1, 3]"
21,"[1, 1, 3, 3, 1, 3, 1, 3]"
22,"[3, 1, 1, 3, 1, 3, 1, 3]"
23,"[1, 0, 3, 2, 1, 1, 1, 3, 3, 3, 1, 3]"
24,"[1, 1, 1, 3, 3, 3, 1, 3]"
25,"[1, 1, 1, 3, 3, 3, 1, 3]"
26,"[1, 1, 2, 1, 3, 3, 3, 1, 3]"
27,"[3, 1, 3, 3, 3, 1, 1, 1]"
28,"[1, 1, 1, 3, 3, 3, 1, 3]"
29,"[1, 1, 1, 3, 3, 3, 1, 3]"
30,"[1, 1, 1, 3, 3, 3, 1, 3]"
31,"[1, 1, 1, 3, 3, 3, 1, 3]"
32,"[1, 1, 1, 3, 3, 3, 1, 3]"
33,"[1, 1, 1, 3, 3, 3, 1, 3]"
34,"[1, 1, 1, 3, 3, 3, 1, 3]"
35,"[1, 1, 1, 3, 3, 3, 1, 3]"
36,"[1, 1, 1, 3, 3, 3, 1, 3]"
37,"[1, 1, 1, 3, 3, 3, 1, 3]"
38,"[1, 1, 1, 3, 3, 3, 1, 3]"
39,"[1, 1, 1, 3, 3, 3, 1, 3]"
40,"[1, 1, 1, 3, 3, 3, 1, 3]"
41,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
42,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
43,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
44,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
45,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
46,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
47,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
48,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
49,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
50,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
51,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
52,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
53,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
54,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
55,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
56,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
57,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
58,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
59,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
60,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
