Episode,Action Sequence
1,"[0, 3, 0, 3, 2, 2, 1, 0, 2, 1, 3, 3, 2, 2, 1, 1, 2, 3, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 0, 3, 3, 0, 3, 1, 2, 3, 1, 1, 2, 1, 2, 0, 2, 1, 0, 0, 0, 3, 0, 2, 2, 1, 0, 0, 0, 1, 3, 2, 1, 3, 1, 0, 2, 1, 2, 1, 3, 3, 3, 2, 0, 2, 3, 0, 1, 2, 3, 3, 0, 2, 0, 1, 2, 0, 1, 1, 3, 3, 0, 2, 3, 0, 1, 1, 3, 3, 3, 2, 1, 0, 0, 3, 0, 2, 0, 3, 2, 0, 3, 1, 0, 1, 3, 1, 1, 2, 3, 2, 1, 3]"
2,"[3, 3, 1, 1, 1, 3, 1, 3]"
3,"[1, 2, 1, 3, 2, 2, 1, 3, 3, 1, 3, 3]"
4,"[3, 2, 1, 0, 3, 2, 2, 1, 0, 3, 1, 2, 0, 0, 3, 0, 3, 1, 3, 1, 0, 1, 0, 0, 1, 3, 1, 3, 3, 2, 0, 3, 3, 1, 1, 1]"
5,"[3, 1, 2, 0, 3, 3, 1, 3, 2, 0, 3, 2, 2, 2, 3, 3, 0, 2, 2, 2, 3, 3, 3, 2, 3, 3, 0, 0, 1, 0, 3, 2, 2, 3, 2, 1, 0, 1, 3, 2, 2, 3, 2, 0, 1, 2, 1, 0, 3, 3, 2, 0, 0, 2, 1, 1, 3, 3, 2, 3, 1, 3, 2, 1, 3, 3]"
6,"[1, 3, 2, 3, 0, 1, 0, 1, 1, 0, 1, 2, 3, 2, 3, 1, 2, 0, 0, 1, 3, 3, 0, 3, 3, 2, 2, 1, 3, 2, 1, 0, 3, 2, 1, 1, 3, 3]"
7,"[1, 3, 2, 0, 3, 3, 2, 1, 0, 1, 2, 0, 3, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 2, 1, 1, 3, 3, 1, 0, 2, 3, 3, 2, 3, 3, 2, 2, 2, 0, 0, 1, 2, 3, 3, 1, 2, 2, 1, 1, 3, 2, 0, 3, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 3, 0, 3, 3, 3, 2, 0, 1, 2, 3, 0, 0, 3, 1, 2, 2, 3, 1, 0, 0, 1, 0, 3, 2, 3, 3, 2, 1, 0, 2, 2, 3, 0, 2, 3, 1, 1, 1, 2, 0, 1, 0, 2, 3, 3, 1, 0, 3, 3, 1, 1]"
8,"[3, 1, 3, 2, 1, 1, 2, 3, 3, 0, 0, 2, 2, 3, 3, 1, 3, 1, 0, 1, 2, 2, 2, 1, 1, 1, 0, 3, 0, 1, 1, 3, 3, 3]"
9,"[3, 1, 1, 1, 3, 1, 3, 3]"
10,"[1, 1, 3, 0, 2, 3, 1, 3, 3, 3, 1, 1]"
11,"[3, 3, 0, 2, 3, 3, 0, 3, 2, 3, 0, 1, 0, 3, 2, 2, 1, 0, 3, 3, 1, 1, 1, 1]"
12,"[1, 1, 1, 3, 1, 3, 3, 3]"
13,"[2, 3, 2, 1, 1, 1, 0, 0, 3, 1, 1, 3, 2, 1, 1, 3, 3, 3]"
14,"[3, 2, 3, 3, 3, 2, 3, 3, 2, 1, 1, 3, 1, 1]"
15,"[1, 0, 3, 1, 1, 3, 2, 2, 1, 1, 3, 3, 3, 3]"
16,"[3, 3, 3, 1, 3, 1, 1, 1]"
17,"[3, 3, 1, 1, 3, 3, 1, 1]"
18,"[1, 3, 2, 0, 3, 1, 1, 3, 3, 3, 1, 1]"
19,"[1, 3, 0, 1, 0, 0, 2, 1, 2, 2, 3, 2, 0, 3, 3, 2, 3, 2, 3, 1, 2, 3, 2, 2, 1, 2, 1, 0, 3, 1, 0, 0, 0, 3, 1, 1, 0, 1, 3, 3, 1, 1]"
20,"[1, 3, 0, 3, 1, 3, 1, 3, 1, 1]"
21,"[1, 3, 3, 0, 1, 0, 3, 3, 1, 1, 1, 1]"
22,"[0, 3, 3, 1, 3, 3, 1, 1, 1]"
23,"[3, 3, 1, 1, 1, 1, 3, 3]"
24,"[3, 3, 3, 2, 2, 1, 1, 2, 3, 1, 2, 1, 3, 3, 3, 3]"
25,"[2, 1, 3, 0, 1, 1, 1, 1, 3, 3, 3]"
26,"[3, 1, 0, 2, 1, 0, 1, 1, 3, 0, 2, 0, 2, 3, 1, 2, 1, 1, 3, 1, 3, 3, 3]"
27,"[3, 3, 1, 1, 2, 0, 3, 3, 3, 1, 1, 1]"
28,"[1, 0, 3, 2, 3, 2, 1, 1, 3, 0, 0, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 3, 3, 3, 3]"
29,"[1, 3, 1, 3, 1, 1, 3, 3]"
30,"[3, 1, 0, 1, 1, 1, 0, 1, 3, 1, 3, 3]"
31,"[3, 2, 1, 3, 3, 3, 1, 3, 1, 1]"
32,"[3, 1, 0, 3, 3, 2, 3, 1, 1, 3, 1, 1]"
33,"[3, 1, 3, 1, 2, 3, 0, 0, 1, 2, 1, 3, 2, 1, 1, 3, 3, 3]"
34,"[3, 1, 3, 2, 3, 3, 3, 1, 1, 1]"
