Episode,Weights
1,"[[[ 0.         -0.49277354  0.         -0.26975508]
  [-0.48912309  0.         -0.8684585  -0.2701099 ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.         -0.25980199  0.         -0.50623299]
  [-0.2669109   0.         -0.54080632 -0.24400443]
  [-0.39336285 -0.29715598  0.          0.        ]
  [-0.32701328  0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.          0.         -0.25804977 -0.40363181]
  [-0.20889872  0.          0.          0.        ]
  [ 0.          0.         -0.28372019  0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.         -0.32120816  0.          0.        ]
  [ 0.         -0.27317805  0.         -0.13805202]
  [ 0.         -0.273729   -0.27767409  0.        ]
  [-0.27495334  0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.          0.          0.          0.        ]
  [ 0.          0.541875   -0.27293012  0.        ]
  [ 0.          1.5375      0.          0.        ]
  [ 0.          3.75        0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
2,"[[[ 0.         -0.81474263 -0.89488609 -0.87071118]
  [-0.48912309 -0.54641138 -0.8684585  -0.50223341]
  [-0.29092042  0.         -0.88091419  0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.85213865 -0.5322367  -0.55269874 -0.50623299]
  [-0.6255887  -0.27253333 -0.54080632 -0.24400443]
  [-0.39336285 -0.29715598  0.         -0.27229628]
  [-0.32701328  0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.          0.         -0.25804977 -0.40363181]
  [-0.20889872  0.          0.          0.        ]
  [ 0.         -0.27176951 -0.28372019 -0.26799759]
  [-0.27059892  0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.70519201 -0.32120816  0.         -0.04722914]
  [ 0.         -0.27317805  0.         -0.38742284]
  [-0.26221687 -0.273729   -0.27767409  0.        ]
  [-0.27495334  0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[ 0.          0.22837969 -0.62089751  0.        ]
  [-0.42940388  1.22015625 -0.27293012  0.        ]
  [ 0.          3.0975      0.          0.        ]
  [ 0.          6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
3,"[[[-1.94058227 -0.99763234 -0.89488609 -1.05369167]
  [-0.48912309 -0.54641138 -0.8684585  -0.7001656 ]
  [-0.29092042  0.         -0.88091419  0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.85213865 -0.74389384 -0.81208455 -0.50623299]
  [-0.86681546 -0.4732591  -0.54080632 -0.24400443]
  [-0.39336285 -0.52463217  0.         -0.47586466]
  [-0.32701328  0.          0.         -0.09184671]
  [-0.06928143  0.          0.         -0.23648315]]

 [[ 0.          0.         -0.25804977 -0.40363181]
  [-0.20889872  0.          0.          0.        ]
  [ 0.         -0.27176951 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          0.11595473]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.32120816  0.         -0.04722914]
  [ 0.         -0.27317805  0.         -0.38742284]
  [-0.26221687 -0.273729   -0.27767409  0.        ]
  [-0.27495334  1.27527341 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717  3.75      ]]

 [[ 0.          0.22837969 -0.62089751  0.        ]
  [-0.42940388  1.22015625 -0.27293012  0.        ]
  [ 0.          3.0975      0.          0.        ]
  [ 0.          6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
4,"[[[-1.94058227 -0.99763234 -1.69010673 -1.1840115 ]
  [-0.48912309 -0.54641138 -0.8684585  -0.7001656 ]
  [-0.29092042  0.         -0.88091419  0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.85213865 -0.8995208  -0.81208455 -0.50623299]
  [-0.86681546 -0.4732591  -0.54080632 -0.43127208]
  [-0.39336285 -0.52463217  0.         -0.47586466]
  [-0.32701328  0.          0.         -0.09184671]
  [-0.06928143  0.          0.         -0.23648315]]

 [[ 0.          0.         -0.25804977 -0.40363181]
  [-0.20889872  0.          0.         -0.16415182]
  [ 0.         -0.27176951 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          0.11595473]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.32120816  0.         -0.04722914]
  [ 0.         -0.30462654  0.         -0.38742284]
  [-0.26221687  0.67943891 -0.27767409  0.        ]
  [-0.03235958  2.8746074  -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717  6.9375    ]]

 [[ 0.          0.22837969 -0.62089751  0.        ]
  [-0.42940388  1.22015625 -0.27293012  0.        ]
  [ 0.          3.0975      0.          0.        ]
  [ 0.          6.9375      0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
5,"[[[-1.94058227 -0.99763234 -1.69010673 -1.43464113]
  [-0.48912309 -0.54641138 -0.8684585  -0.7001656 ]
  [-0.29092042  0.         -0.88091419  0.        ]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.85213865 -0.8995208  -0.81208455 -0.97265497]
  [-0.86681546 -0.4732591  -0.54080632 -0.43127208]
  [-0.39336285 -0.52463217  0.         -0.47586466]
  [-0.32701328  0.          0.         -0.09184671]
  [-0.06928143  0.          0.         -0.23648315]]

 [[-0.8719043  -0.27089843 -0.25804977 -0.74112356]
  [-0.51427192 -0.5213209   0.         -0.16415182]
  [-0.51932422 -0.27176951 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          0.11595473]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.32120816  0.         -0.59842142]
  [ 0.         -0.30462654  0.         -0.38742284]
  [-0.26221687  0.67943891 -0.27767409  0.        ]
  [-0.03235958  2.8746074  -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717  6.9375    ]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  1.99881563 -0.27293012  0.        ]
  [ 0.          4.63865625  0.          0.        ]
  [ 0.          9.646875    0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
6,"[[[-1.94058227 -1.1221627  -1.69010673 -1.43464113]
  [-0.48912309 -0.67561939 -0.8684585  -0.7001656 ]
  [-0.29092042  0.         -0.88091419 -0.13593269]
  [ 0.          0.          0.          0.        ]
  [ 0.          0.          0.          0.        ]]

 [[-1.85213865 -0.8995208  -0.81208455 -0.97265497]
  [-0.86681546 -0.4732591  -0.54080632 -0.43127208]
  [-0.39336285 -0.52463217  0.         -0.44460396]
  [-0.32701328  0.          0.         -0.09184671]
  [-0.06928143  0.          0.         -0.23648315]]

 [[-0.8719043  -0.27089843 -0.25804977 -0.74112356]
  [-0.51427192 -0.5213209   0.         -0.16415182]
  [-0.51932422  0.05280976 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          1.04519909]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.32120816  0.         -0.59842142]
  [ 0.         -0.30462654  0.         -0.38742284]
  [-0.26221687  0.67943891 -0.27767409  0.        ]
  [-0.03235958  4.44919754 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717  9.646875  ]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  1.99881563 -0.27293012  0.        ]
  [ 0.          4.63865625  0.          0.        ]
  [ 0.          9.646875    0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
7,"[[[-2.64214036 -1.76491589 -1.69010673 -1.59781626]
  [-1.66004474 -0.86655294 -1.75309854 -1.33281864]
  [-0.83876968 -0.49202474 -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.        ]
  [-0.36493234  0.          0.          0.        ]]

 [[-1.85213865 -0.8995208  -1.07595097 -1.42739207]
  [-1.24918462 -0.84822227 -1.30463398 -0.64518329]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751 -0.09184671]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-0.8719043  -0.78174851 -0.56276996 -0.74112356]
  [-0.51427192 -0.5213209  -0.68910705 -0.46550812]
  [-0.51932422  0.05280976 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          1.04519909]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.69132818  0.         -0.59842142]
  [-0.43581437 -0.30462654 -0.3889018   0.1722143 ]
  [-0.26221687  0.67943891 -0.27767409  0.        ]
  [-0.03235958  4.44919754 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717  9.646875  ]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  2.84700141 -0.27293012  0.        ]
  [ 0.          6.13152187  0.          0.        ]
  [ 0.         11.94984375  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
8,"[[[-2.64214036 -1.76491589 -2.45642309 -1.71809888]
  [-1.66004474 -0.86655294 -1.75309854 -1.33281864]
  [-0.83876968 -0.49202474 -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.        ]
  [-0.36493234  0.          0.          0.        ]]

 [[-1.85213865 -1.09623137 -1.07595097 -1.42739207]
  [-1.24918462 -0.84822227 -1.30463398 -0.98756252]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751 -0.09184671]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-0.8719043  -0.78174851 -0.56276996 -0.74112356]
  [-0.51427192 -0.5213209  -0.89804137 -0.56266628]
  [-0.51932422  0.47628808 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          2.02363888]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932  0.         -0.59842142]
  [-0.52522173 -0.27700275 -0.3889018   0.1722143 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  5.97048197 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 11.94984375]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  2.84700141 -0.27293012  0.        ]
  [ 0.          6.13152187  0.          0.        ]
  [ 0.         11.94984375  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
9,"[[[-2.64214036 -1.84399749 -2.45642309 -1.71809888]
  [-1.66004474 -1.11396348 -1.75309854 -1.33281864]
  [-1.02610874 -0.5220466  -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.10260983]
  [-0.36493234  0.          0.          0.        ]]

 [[-1.85213865 -1.09623137 -1.07595097 -1.42739207]
  [-1.24918462 -0.84822227 -1.30463398 -0.98756252]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751  0.49706248]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-0.8719043  -0.78174851 -0.56276996 -0.74112356]
  [-0.51427192 -0.5213209  -0.89804137 -0.56266628]
  [-0.51932422  0.47628808 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          3.02795209]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932  0.         -0.59842142]
  [-0.52522173 -0.27700275 -0.3889018   0.1722143 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  7.41902413 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 13.90736719]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  2.84700141 -0.27293012  0.        ]
  [ 0.          6.13152187  0.          0.        ]
  [ 0.         11.94984375  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
10,"[[[-2.64214036 -1.84399749 -2.45642309 -1.91451561]
  [-1.66004474 -1.11396348 -1.75309854 -1.33281864]
  [-1.02610874 -0.5220466  -1.6242824  -0.66385527]
  [-0.95900377 -0.31421956 -0.87283891  0.10260983]
  [-0.36493234  0.          0.          0.        ]]

 [[-1.85213865 -1.09623137 -1.07595097 -1.78045469]
  [-1.24918462 -0.84822227 -1.30463398 -0.98756252]
  [-0.64423576 -0.74116852 -0.49724794 -0.44460396]
  [-0.32701328 -0.32273595 -0.54277751  0.49706248]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.7794928  -0.56276996 -0.88118652]
  [-0.51427192 -0.5213209  -0.89804137 -0.33062154]
  [-0.51932422  0.47628808 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.          3.02795209]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.22495888 -0.59842142]
  [-0.52522173 -0.27700275 -0.3889018   0.7819829 ]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958  7.41902413 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 13.90736719]]

 [[-0.97579535  0.55924055 -0.62089751 -0.57028136]
  [-0.42940388  3.73868043 -0.27293012  0.        ]
  [ 0.          7.55590805  0.          0.        ]
  [ 0.         13.90736719  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
